nombre,geocodigo,nom_comuna,nom_region,nom_provin,region,distrito,lon,lat,tipo
LA ARENA,10101102026,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.60992699119245,-41.67013266522673,localidad
LAGO CHAPO,10101102030,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.47693652073397,-41.52779854695249,localidad
LENCA,10101102035,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.6332318322652,-41.54476873718112,localidad
METRI,10101102037,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.68365014042885,-41.567334320150174,localidad
CALETA GUTIÉRREZ,10101102005,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.6473540840187,-41.65634559721179,localidad
YERBAS BUENAS,10101102051,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.6309864525246,-41.660811615746596,localidad
CHAICA,10101102007,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.64476238871892,-41.633507992900824,localidad
INDETERMINADA,10101102901,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-72.56538492932486,-41.57711208619283,localidad
ISLA TENGLO,10101112025,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,11,-72.97367468095938,-41.50046421280529,localidad
ISLA MAILLÉN,10101122024,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,12,-72.99208157834113,-41.57407407930539,localidad
HUELMO,10101132022,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,13,-73.0936725840426,-41.66730755552232,localidad
ILQUE,10101132023,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,13,-73.09765618289457,-41.62933241875643,localidad
LA GOLETA,10101132027,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,13,-73.15585226097917,-41.557980637201894,localidad
TRAPÉN,10101132049,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,13,-73.0981323136939,-41.56094263261852,localidad
COLONIA EL GATO,10101142015,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.21133299990525,-41.48271882823528,localidad
LA GOLETA,10101142027,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.17935175138236,-41.54761643097219,localidad
MONTE VERDE,10101142038,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.18208604561572,-41.50952006594687,localidad
SALTO CHICO,10101142046,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.25639258500442,-41.50374585261928,localidad
